PlayerID,Team,Number,FirstName,LastName,Position,Status,Height,Weight,BirthDate,College,Experience,FantasyPosition,Active,PositionCategory,Name,Age,ExperienceString,BirthDateString,PhotoUrl,ByeWeek,UpcomingGameOpponent,UpcomingGameWeek,ShortName,AverageDraftPosition,DepthPositionCategory,DepthPosition,DepthOrder,DepthDisplayOrder,CurrentTeam,CollegeDraftTeam,CollegeDraftYear,CollegeDraftRound,CollegeDraftPick,IsUndraftedFreeAgent,HeightFeet,HeightInches,UpcomingOpponentRank,UpcomingOpponentPositionRank,CurrentStatus,UpcomingSalary,FantasyAlarmPlayerID,SportRadarPlayerID,RotoworldPlayerID,RotoWirePlayerID,StatsPlayerID,SportsDirectPlayerID,XmlTeamPlayerID,FanDuelPlayerID,DraftKingsPlayerID,YahooPlayerID,InjuryStatus,InjuryBodyPart,InjuryStartDate,InjuryNotes,FanDuelName,DraftKingsName,YahooName,FantasyPositionDepthOrder,InjuryPractice,InjuryPracticeDescription,DeclaredInactive,UpcomingFanDuelSalary,UpcomingDraftKingsSalary,UpcomingYahooSalary,TeamID,GlobalTeamID,FantasyDraftPlayerID,FantasyDraftName,UsaTodayPlayerID,UsaTodayHeadshotUrl,UsaTodayHeadshotNoBackgroundUrl,UsaTodayHeadshotUpdated,UsaTodayHeadshotNoBackgroundUpdated,PlayerSeason,LatestNews
19872,DAL,,Malik,Jefferson,LB,Practice Squad,"6'2""",241,1996-11-15T00:00:00,Texas,1,LB,True,DEF,Malik Jefferson,26,5th Season,"November 15, 1996",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19872.png,7,ARI,3,M.Jefferson,,Scrambled,Scrambled,,,DAL,CIN,2018,0,26,False,6,2,2,,Scrambled,,305863,c3e579cc-6693-47c4-91a9-b688935ae048,,12506,867820,93464,,,,31048,Scrambled,Scrambled,,Scrambled,,,,,Scrambled,Scrambled,False,,,,9,9,,,8275086,http://cdn.usatsimg.com/api/download/?imageID=16602816,http://cdn.usatsimg.com/api/download/?imageID=16602817,2021-08-21T13:47:31,2021-08-21T13:47:36,,[]
20838,DAL,,Tyron,Johnson,WR,Practice Squad,"6'1""",193,1996-01-08T00:00:00,Oklahoma State,0,WR,True,OFF,Tyron Johnson,27,4th Season,"January 8, 1996",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20838.png,7,ARI,3,T.Johnson,285.7,Scrambled,Scrambled,,,DAL,HOU,2019,,,True,6,1,2,2,Scrambled,999,307105,064c4eda-1b10-40ac-a9d2-66caf76a213a,,13615,865567,91201,,60705,865567,32511,Scrambled,Scrambled,,Scrambled,Tyron Billy-Johnson,Tyron Billy-Johnson,Tyron Johnson,1,Scrambled,Scrambled,False,1365,999,,9,9,865567,Tyron Johnson,8306523,http://cdn.usatsimg.com/api/download/?imageID=17069745,http://cdn.usatsimg.com/api/download/?imageID=17074688,2021-10-31T18:30:31,2021-11-01T13:29:24,,[]
21781,DAL,,Sean,McKeon,TE,Practice Squad,"6'5""",238,1997-12-28T00:00:00,Michigan,0,TE,True,OFF,Sean McKeon,25,4th Season,"December 28, 1997",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21781.png,7,ARI,3,S.McKeon,225.4,Scrambled,Scrambled,,,DAL,DAL,2020,,,True,6,5,2,3,Scrambled,832,307603,0f369885-8ecd-4ca0-a3dc-df8530a0db6e,,14478,,121454,,68730,911020,33101,Scrambled,Scrambled,,Scrambled,Sean McKeon,Sean McKeon,Sean McKeon,0,Scrambled,Scrambled,False,1399,832,,9,9,,,8250861,http://cdn.usatsimg.com/api/download/?imageID=18924043,http://cdn.usatsimg.com/api/download/?imageID=18924046,2022-08-25T12:18:16,2022-08-25T12:18:20,,[]
22019,DAL,,Alex,Taylor,OT,Practice Squad,"6'8""",301,1997-04-29T00:00:00,South Carolina State,0,OL,True,OFF,Alex Taylor,26,3rd Season,"April 29, 1997",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/22019.png,7,ARI,3,A.Taylor,,Scrambled,Scrambled,,,DAL,CLE,2020,,,True,6,8,2,,Scrambled,,307916,491a4774-9f2d-4b70-9933-2c7c89abbeba,,14694,,176636,,,,33312,Scrambled,Scrambled,,Scrambled,,,,,Scrambled,Scrambled,False,,,,9,9,,,8306665,http://cdn.usatsimg.com/api/download/?imageID=16582544,http://cdn.usatsimg.com/api/download/?imageID=16582551,2021-08-18T17:42:24,2021-08-18T17:42:33,,[]
23467,DAL,,Jalen,Moreno-Cropper,WR,Practice Squad,"6'0""",172,2001-05-03T00:00:00,Fresno State,0,WR,True,OFF,Jalen Moreno-Cropper,22,Rookie,"May 3, 2001",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/23467.png,7,ARI,3,J.Moreno-Cropper,332.7,Scrambled,Scrambled,,,DAL,DAL,2023,,,True,6,0,2,2,Scrambled,999,,d67c1e40-f66d-11ed-823b-d335e7ef7897,,16730,,,,109008,1170916,40774,Scrambled,Scrambled,,Scrambled,Jalen Cropper,Jalen Cropper,Jalen Cropper,1,Scrambled,Scrambled,False,1332,999,,9,9,,,,,,,,,[]
23880,DAL,,Malik,Davis,RB,Practice Squad,"5'11""",202,1998-11-26T00:00:00,Florida,0,RB,True,OFF,Malik Davis,24,2nd Season,"November 26, 1998",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/23880.png,7,ARI,3,M.Davis,92.2,Scrambled,Scrambled,,,DAL,DAL,2022,,,True,5,11,2,2,Scrambled,1332,,7caf1f90-d30d-11ec-8b77-45b1765fd110,,15828,975028,127781,,86047,975028,34610,Scrambled,Scrambled,,Scrambled,Malik Davis,Malik Davis,Malik Davis,1,Scrambled,Scrambled,False,1365,1332,,9,9,,,8298256,http://cdn.usatsimg.com/api/download/?imageID=19538902,http://cdn.usatsimg.com/api/download/?imageID=19538901,2022-12-01T15:10:57,2022-12-01T15:10:54,,[]
24395,DAL,,Earl,Bostick Jr.,OT,Practice Squad,"6'6""",310,1998-12-31T00:00:00,Kansas,0,OL,True,OFF,Earl Bostick Jr.,24,Rookie,"December 31, 1998",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/24395.png,7,ARI,3,E.Bostick Jr.,,Scrambled,Scrambled,,,DAL,DAL,2023,,,True,6,6,2,,Scrambled,,,8a008d30-f672-11ed-84b9-4745dec76369,,17141,,,,,,,Scrambled,Scrambled,,Scrambled,,,,,Scrambled,Scrambled,False,,,,9,9,,,,,,,,,[]
24448,DAL,,Tyrus,Wheat,DE,Practice Squad,"6'2""",260,1999-12-08T00:00:00,Mississippi State,0,DL,True,DEF,Tyrus Wheat,23,Rookie,"December 8, 1999",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/24448.png,7,ARI,3,T.Wheat,,Scrambled,Scrambled,,,DAL,DAL,2023,,,True,6,2,2,,Scrambled,,,700b71a0-f678-11ed-a5ca-c79bcc7fcf23,,17181,,,,,,40776,Scrambled,Scrambled,,Scrambled,,,,,Scrambled,Scrambled,False,,,,9,9,,,,,,,,,[]
24616,DAL,,Durrell,Johnson,DE,Practice Squad,"6'3""",240,1998-06-26T00:00:00,Liberty,0,DL,True,DEF,Durrell Johnson,25,Rookie,"June 26, 1998",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/24616.png,7,ARI,3,D.Johnson,,Scrambled,Scrambled,,,DAL,DAL,2023,,,True,6,3,2,,Scrambled,,,4d871440-f678-11ed-a5ca-c79bcc7fcf23,,17291,,,,,,40783,Scrambled,Scrambled,,Scrambled,,,,,Scrambled,Scrambled,False,,,,9,9,,,,,,,,,[]
24617,DAL,,Princeton,Fant,TE,Practice Squad,"6'2""",235,1999-03-11T00:00:00,Tennessee,0,TE,True,OFF,Princeton Fant,24,Rookie,"March 11, 1999",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/24617.png,7,ARI,3,P.Fant,,Scrambled,Scrambled,,,DAL,DAL,2023,,,True,6,2,2,3,Scrambled,832,,4b51e190-f674-11ed-88a9-a32a17c14014,,17135,,,,87442,1059585,40778,Scrambled,Scrambled,,Scrambled,Princeton Fant,Princeton Fant,Princeton Fant,1,Scrambled,Scrambled,False,1332,832,,9,9,,,,,,,,,[]
